company_name,company_slug,website,yc_directory_url,all_locations,regions,is_hiring,detected_board_type,trackability,selected_url,evidence
Paragon AI,paragon-ai,https://paragon.ai,https://www.ycombinator.com/companies/paragon-ai,"New York City, NY, USA; San Juan, San Juan, Puerto Rico; Remote",United States of America;Puerto Rico;America / Canada;Latin America;Remote;Fully Remote,true,,unknown,https://home.paragon.ai/,no_careers_surface_detected
Parahelp,parahelp,https://parahelp.com/,https://www.ycombinator.com/companies/parahelp,"San Francisco, CA, USA",United States of America;America / Canada,true,,unknown,https://parahelp.com/,no_careers_surface_detected
Parallel Bio,parallel-bio,http://parallel.bio,https://www.ycombinator.com/companies/parallel-bio,"San Francisco, CA, USA",United States of America;America / Canada;Remote;Partly Remote,true,,custom_page,https://www.parallel.bio/careers,custom_careers_page
Parker,parker,https://www.getparker.com,https://www.ycombinator.com/companies/parker,"New York City, NY, USA; San Francisco, CA, USA",United States of America;America / Canada;Remote;Partly Remote,true,ashby,api_native,https://www.getparker.com/,jobs.ashbyhq.com
Parrot,parrot,https://parrotapp.com/,https://www.ycombinator.com/companies/parrot,"San Francisco, CA, USA",United States of America;America / Canada,true,,unknown,https://parrotapp.com/,no_careers_surface_detected
Partcl,partcl,https://partcl.com/,https://www.ycombinator.com/companies/partcl,"San Francisco, CA, USA",United States of America;America / Canada,true,,unknown,https://partcl.com/,no_careers_surface_detected
Pasito,pasito,https://pasito.ai,https://www.ycombinator.com/companies/pasito,"New York, NY, USA; Remote",United States of America;America / Canada;Remote;Fully Remote,true,,unknown,https://pasito.ai/,no_careers_surface_detected
Pave,pave-2,https://pave.com,https://www.ycombinator.com/companies/pave-2,"San Francisco, CA, USA",United States of America;America / Canada;Remote;Partly Remote,true,greenhouse,api_native,https://pave.com/company/careers,greenhouse.io
Pave Robotics,pave-robotics,https://pave-robotics.com,https://www.ycombinator.com/companies/pave-robotics,"San Francisco, CA, USA",United States of America;America / Canada,true,,unknown,https://pave-robotics.com/,no_careers_surface_detected
Pax,pax,https://paxai.com/,https://www.ycombinator.com/companies/pax,"San Francisco, CA, USA",United States of America;America / Canada,true,,unknown,https://www.paxai.com/,no_careers_surface_detected
Pax Historia,pax-historia,https://www.paxhistoria.co,https://www.ycombinator.com/companies/pax-historia,"San Francisco, CA, USA",United States of America;America / Canada,true,,unknown,https://www.paxhistoria.co/,no_careers_surface_detected
PAX Markets,pax-markets,https://pax.markets/,https://www.ycombinator.com/companies/pax-markets,"Redwood City, CA, USA",United States of America;America / Canada,true,,custom_page,https://www.ycombinator.com/companies/pax-markets/jobs/gyUxpoz-founding-software-engineer,custom_careers_page
Pelago,pelago,https://www.pelagohealth.com,https://www.ycombinator.com/companies/pelago,"New York, NY, USA",United States of America;America / Canada;Remote;Partly Remote,true,,custom_page,https://www.pelagohealth.com/company/careers/,custom_careers_page
Pelica,pelica,https://www.pelica.com/,https://www.ycombinator.com/companies/pelica,"San Francisco, CA, USA",United States of America;America / Canada,true,,unknown,https://www.pelica.com/,no_careers_surface_detected
People.ai,people-ai,https://people.ai,https://www.ycombinator.com/companies/people-ai,"San Francisco, CA, USA",United States of America;America / Canada;Remote;Partly Remote,true,lever,api_native,https://www.backstory.ai/about-us/careers,jobs.lever.co
Peoplebox.ai,peoplebox,https://www.peoplebox.ai,https://www.ycombinator.com/companies/peoplebox,"San Francisco, CA, USA",United States of America;America / Canada,true,,unknown,https://www.peoplebox.ai/,no_careers_surface_detected
Peppr AI,peppr-ai,https://www.usepeppr.ai/,https://www.ycombinator.com/companies/peppr-ai,"San Francisco, CA, USA",United States of America;America / Canada,true,,custom_page,https://usepeppr.ai/open-positions/,custom_careers_page
Per Diem,per-diem,https://tryperdiem.com,https://www.ycombinator.com/companies/per-diem,"New York, NY, USA; Remote",United States of America;America / Canada;Remote;Fully Remote,true,,unknown,https://www.tryperdiem.com/,no_careers_surface_detected
PermitFlow,permitflow,http://www.permitflow.com,https://www.ycombinator.com/companies/permitflow,"New York, NY, USA",United States of America;America / Canada;Remote;Partly Remote,true,ashby,api_native,https://www.permitflow.com/,jobs.ashbyhq.com
PermitPortal,permitportal,https://permitportalapp.com/,https://www.ycombinator.com/companies/permitportal,"San Francisco, CA, USA",United States of America;America / Canada,true,,unknown,https://permitportalapp.com/,no_careers_surface_detected
Persana AI,persana-ai,https://www.persana.ai/,https://www.ycombinator.com/companies/persana-ai,"San Francisco, CA, USA",United States of America;America / Canada,true,notion,custom_page,https://persana.ai/blogs/exciting-news-our-next-chapter,notion.site
Pesto,pesto,https://www.getpesto.com/,https://www.ycombinator.com/companies/pesto,"San Francisco, CA, USA",United States of America;America / Canada;Remote;Partly Remote,true,,custom_page,https://getpesto.com/careers/,custom_careers_page
PgDog,pgdog,https://pgdog.dev,https://www.ycombinator.com/companies/pgdog,"San Francisco, CA, USA; Remote",United States of America;America / Canada;Remote;Fully Remote,true,,unknown,https://pgdog.dev/,no_careers_surface_detected
