company_key,company_name,segment_primary,segment_tags,source_lists,local_source_rank,yc_source_rank,city,state_or_region,metro_area,company_category,employee_band,hq_status,company_website,careers_page,company_linkedin,source_systems,check_daily,priority_tier,board_type,board_url,board_token,board_api_url,board_confirmation_status,board_last_verified_at,resolved_from_url,listing_source_type,listing_source_url,listing_source_job_count,listing_source_last_verified_at,listing_authority,listing_source_notes,job_source_type,job_source_url,job_source_job_count,job_source_last_verified_at,job_source_notes,jd_capture_status,jd_format,jd_extraction_method,jd_extraction_locator,jd_last_verified_at,jd_notes,notes
curri,Curri,yc,yc,yc_us_hiring_confirmed_api_native_live,,52,,,,,,,http://www.curri.com,https://www.curri.com/careers,,yc_public_directory;yc_api_native_board_confirmation,true,,ashby,https://jobs.ashbyhq.com/curri,curri,https://api.ashbyhq.com/posting-api/job-board/curri?includeCompensation=true,live_jobs,,https://www.curri.com/careers,api_native,https://api.ashbyhq.com/posting-api/job-board/curri?includeCompensation=true,24,,api_primary,Public ATS/API feed is the authoritative live listing source.,api_native,https://api.ashbyhq.com/posting-api/job-board/curri?includeCompensation=true,24,,,full_jd_inferred_api,html_or_text,api_field,jobs[].descriptionHtml|jobs[].descriptionPlain,,,
datafold,Datafold,yc,yc,yc_us_hiring_confirmed_api_native_live,,53,,,,,,,https://datafold.com,https://www.datafold.com/careers/,,yc_public_directory;yc_api_native_board_confirmation,true,,ashby,https://jobs.ashbyhq.com/datafold,datafold,https://api.ashbyhq.com/posting-api/job-board/datafold?includeCompensation=true,live_jobs,,https://www.datafold.com/careers/,api_native,https://api.ashbyhq.com/posting-api/job-board/datafold?includeCompensation=true,1,,api_primary,Public ATS/API feed is the authoritative live listing source.,api_native,https://api.ashbyhq.com/posting-api/job-board/datafold?includeCompensation=true,1,,,full_jd_inferred_api,html_or_text,api_field,jobs[].descriptionHtml|jobs[].descriptionPlain,,,
david-ai,David AI,yc,yc,yc_us_hiring_confirmed_api_native_live,,54,,,,,,,https://www.withdavid.ai/,https://www.withdavid.ai/jobs,,yc_public_directory;yc_api_native_board_confirmation,true,,ashby,https://jobs.ashbyhq.com/david-ai,david-ai,https://api.ashbyhq.com/posting-api/job-board/david-ai?includeCompensation=true,live_jobs,,https://www.withdavid.ai/jobs,api_native,https://api.ashbyhq.com/posting-api/job-board/david-ai?includeCompensation=true,11,,api_primary,Public ATS/API feed is the authoritative live listing source.,api_native,https://api.ashbyhq.com/posting-api/job-board/david-ai?includeCompensation=true,11,,,full_jd_inferred_api,html_or_text,api_field,jobs[].descriptionHtml|jobs[].descriptionPlain,,,
decoda-health,Decoda Health,yc,yc,yc_us_hiring_confirmed_api_native_live,,55,,,,,,,https://decodahealth.com/,https://decodahealth.com/,,yc_public_directory;yc_api_native_board_confirmation,true,,ashby,https://jobs.ashbyhq.com/decodahealth,decodahealth,https://api.ashbyhq.com/posting-api/job-board/decodahealth?includeCompensation=true,live_jobs,,https://decodahealth.com/,api_native,https://api.ashbyhq.com/posting-api/job-board/decodahealth?includeCompensation=true,4,,api_primary,Public ATS/API feed is the authoritative live listing source.,api_native,https://api.ashbyhq.com/posting-api/job-board/decodahealth?includeCompensation=true,4,,,full_jd_inferred_api,html_or_text,api_field,jobs[].descriptionHtml|jobs[].descriptionPlain,,,
dedalus-labs,Dedalus Labs,yc,yc,yc_us_hiring_confirmed_api_native_live,,56,,,,,,,https://www.dedaluslabs.ai/,https://www.dedaluslabs.ai/careers,,yc_public_directory;yc_api_native_board_confirmation,true,,ashby,https://jobs.ashbyhq.com/dedalus-labs,dedalus-labs,https://api.ashbyhq.com/posting-api/job-board/dedalus-labs?includeCompensation=true,live_jobs,,https://www.dedaluslabs.ai/careers,api_native,https://api.ashbyhq.com/posting-api/job-board/dedalus-labs?includeCompensation=true,1,,api_primary,Public ATS/API feed is the authoritative live listing source.,api_native,https://api.ashbyhq.com/posting-api/job-board/dedalus-labs?includeCompensation=true,1,,,full_jd_inferred_api,html_or_text,api_field,jobs[].descriptionHtml|jobs[].descriptionPlain,,,
doola,doola,yc,yc,yc_us_hiring_confirmed_api_native_live,,57,,,,,,,https://www.doola.com/,https://www.doola.com/careers/,,yc_public_directory;yc_api_native_board_confirmation,true,,lever,https://jobs.lever.co/doola,doola,https://api.lever.co/v0/postings/doola?mode=json,live_jobs,,https://www.doola.com/careers/,api_native,https://api.lever.co/v0/postings/doola?mode=json,8,,api_primary,Public ATS/API feed is the authoritative live listing source.,api_native,https://api.lever.co/v0/postings/doola?mode=json,8,,,full_jd_inferred_api,html_or_text,api_field,[].description|[].descriptionPlain,,,
doublehq,Double,yc,yc,yc_us_hiring_confirmed_api_native_live,,58,,,,,,,https://www.doublehq.com,https://doublehq.com/,,yc_public_directory;yc_api_native_board_confirmation,true,,ashby,https://jobs.ashbyhq.com/double,double,https://api.ashbyhq.com/posting-api/job-board/double?includeCompensation=true,live_jobs,,https://doublehq.com/,api_native,https://api.ashbyhq.com/posting-api/job-board/double?includeCompensation=true,5,,api_primary,Public ATS/API feed is the authoritative live listing source.,api_native,https://api.ashbyhq.com/posting-api/job-board/double?includeCompensation=true,5,,,full_jd_inferred_api,html_or_text,api_field,jobs[].descriptionHtml|jobs[].descriptionPlain,,,
dyneti-technologies,Dyneti Technologies,yc,yc,yc_us_hiring_confirmed_api_native_live,,59,,,,,,,http://www.dyneti.com,https://s.dyneti.com/careers/,,yc_public_directory;yc_api_native_board_confirmation,true,,ashby,https://jobs.ashbyhq.com/dyneti,dyneti,https://api.ashbyhq.com/posting-api/job-board/dyneti?includeCompensation=true,live_jobs,,https://s.dyneti.com/careers/,api_native,https://api.ashbyhq.com/posting-api/job-board/dyneti?includeCompensation=true,9,,api_primary,Public ATS/API feed is the authoritative live listing source.,api_native,https://api.ashbyhq.com/posting-api/job-board/dyneti?includeCompensation=true,9,,,full_jd_inferred_api,html_or_text,api_field,jobs[].descriptionHtml|jobs[].descriptionPlain,,,
ekho,Ekho,yc,yc,yc_us_hiring_confirmed_api_native_live,,60,,,,,,,https://www.ekho.com,https://www.ekho.com/careers/,,yc_public_directory;yc_api_native_board_confirmation,true,,ashby,https://jobs.ashbyhq.com/ekho,ekho,https://api.ashbyhq.com/posting-api/job-board/ekho?includeCompensation=true,live_jobs,,https://www.ekho.com/careers/,api_native,https://api.ashbyhq.com/posting-api/job-board/ekho?includeCompensation=true,8,,api_primary,Public ATS/API feed is the authoritative live listing source.,api_native,https://api.ashbyhq.com/posting-api/job-board/ekho?includeCompensation=true,8,,,full_jd_inferred_api,html_or_text,api_field,jobs[].descriptionHtml|jobs[].descriptionPlain,,,
electric-air-2,Electric Air,yc,yc,yc_us_hiring_confirmed_api_native_live,,61,,,,,,,https://www.electricair.io/,https://www.electricair.io/careers,,yc_public_directory;yc_api_native_board_confirmation,true,,ashby,https://jobs.ashbyhq.com/electricair,electricair,https://api.ashbyhq.com/posting-api/job-board/electricair?includeCompensation=true,live_jobs,,https://www.electricair.io/careers,api_native,https://api.ashbyhq.com/posting-api/job-board/electricair?includeCompensation=true,5,,api_primary,Public ATS/API feed is the authoritative live listing source.,api_native,https://api.ashbyhq.com/posting-api/job-board/electricair?includeCompensation=true,5,,,full_jd_inferred_api,html_or_text,api_field,jobs[].descriptionHtml|jobs[].descriptionPlain,,,
