batch_id,queue_position,company_name,company_slug,website,yc_directory_url,previous_trackability,previous_board_type,previous_selected_url
batch-042,6,Sapling.ai,sapling-ai,https://sapling.ai,https://www.ycombinator.com/companies/sapling-ai,custom_page,,https://sapling.ai/careers
batch-042,7,Scritch,scritch,https://www.scritchai.com,https://www.ycombinator.com/companies/scritch,custom_page,,https://www.ycombinator.com/companies/scritch/jobs/Si0jgHh-founding-engineer
batch-042,8,Semble AI,semble-ai,https://www.sembleai.com,https://www.ycombinator.com/companies/semble-ai,custom_page,,https://www.sembleai.com/open-positions/
batch-042,9,Sendbird,sendbird,https://sendbird.com,https://www.ycombinator.com/companies/sendbird,custom_page,,https://sendbird.com/careers
batch-042,10,Serif Health,serif-health,https://www.serifhealth.com,https://www.ycombinator.com/companies/serif-health,custom_page,,https://www.serifhealth.com/careers
batch-043,1,Shef,shef,https://www.shef.com,https://www.ycombinator.com/companies/shef,custom_page,,https://www.shef.com/careers/
batch-043,2,ShipBob,shipbob,http://shipbob.com,https://www.ycombinator.com/companies/shipbob,custom_page,,https://www.shipbob.com/careers/
batch-043,3,ShortLoop,shortloop,https://shortloop.dev/,https://www.ycombinator.com/companies/shortloop,custom_page,,https://www.ycombinator.com/companies/shortloop/jobs
batch-043,4,Skypher,skypher,https://skypher.co,https://www.ycombinator.com/companies/skypher,custom_page,,https://www.skypher.co/careers
batch-043,5,Snappr,snappr,https://www.snappr.com,https://www.ycombinator.com/companies/snappr,custom_page,,https://www.snappr.com/join-us
batch-043,6,Soff,soff,https://soff.ai,https://www.ycombinator.com/companies/soff,custom_page,,https://www.ycombinator.com/companies/soff/jobs/OTA9QxR-ai-native-forward-deployed-engineer
batch-043,7,Sohar Health,sohar-health,https://www.soharhealth.com,https://www.ycombinator.com/companies/sohar-health,custom_page,,https://jobs.gem.com/sohar-health
batch-043,8,Solo,solo,https://www.solosuit.com/,https://www.ycombinator.com/companies/solo,custom_page,,https://www.solosuit.com/careers
batch-043,9,Solum Health,solum-health,https://www.getsolum.com/,https://www.ycombinator.com/companies/solum-health,custom_page,linkedin_jobs,https://www.linkedin.com/company/solum-health
batch-043,10,Sonatoria,sonatoria,https://sonatoria.com,https://www.ycombinator.com/companies/sonatoria,custom_page,,https://sonatoria.com/open-positions/
batch-044,1,Sparkles,sparkles,https://sparkles.dev,https://www.ycombinator.com/companies/sparkles,custom_page,,https://sparkles.dev/careers
batch-044,2,Speak,speak,http://speak.com,https://www.ycombinator.com/companies/speak,custom_page,notion,https://www.speak.com/
batch-044,3,Spot Health,spot-health,https://spotdx.com,https://www.ycombinator.com/companies/spot-health,custom_page,,https://www.ycombinator.com/companies/spot-health/jobs
batch-044,4,Stable,stable,https://useStable.com,https://www.ycombinator.com/companies/stable,custom_page,,https://www.usestable.com/careers
batch-044,5,Standard AI,standard-ai,https://standard.ai,https://www.ycombinator.com/companies/standard-ai,custom_page,,https://standard.ai/careers/
batch-044,6,Standout,standout,https://standout.work,https://www.ycombinator.com/companies/standout,custom_page,,https://standout.work/jobs/
batch-044,7,StarSling,starsling,https://www.starsling.dev/,https://www.ycombinator.com/companies/starsling,custom_page,,https://www.ycombinator.com/companies/starsling/jobs
batch-044,8,Steinmetz,steinmetz,https://steinmetzmotors.com/,https://www.ycombinator.com/companies/steinmetz,custom_page,,https://steinmetzmotors.com/careers
batch-044,9,Stoke Space,stoke-space,https://www.stokespace.com/,https://www.ycombinator.com/companies/stoke-space,custom_page,,https://www.stokespace.com/careers/
batch-044,10,Storylane,storylane,https://www.storylane.io/,https://www.ycombinator.com/companies/storylane,custom_page,,https://www.storylane.io/careers
batch-045,1,Streak,streak,http://streak.com,https://www.ycombinator.com/companies/streak,custom_page,,https://www.streak.com/careers
batch-045,2,Stripe,stripe,http://stripe.com,https://www.ycombinator.com/companies/stripe,custom_page,,https://stripe.com/jobs
batch-045,3,Structured AI,structured-ai,https://www.getstructured.ai/,https://www.ycombinator.com/companies/structured-ai,custom_page,,https://getstructured.ai/careers/
batch-045,4,Substrate,substrate,https://www.substrate.cc/,https://www.ycombinator.com/companies/substrate,custom_page,,https://www.ycombinator.com/companies/substrate/jobs/
batch-045,5,Superset,superset,https://www.superset.sh/,https://www.ycombinator.com/companies/superset,custom_page,,https://www.ycombinator.com/companies/superset/jobs
batch-045,6,SuperTokens,supertokens,https://supertokens.com,https://www.ycombinator.com/companies/supertokens,custom_page,,https://supertokens.com/careers
batch-045,7,Svix,svix,https://www.svix.com,https://www.ycombinator.com/companies/svix,custom_page,,https://www.svix.com/careers/
batch-045,8,Sweep,sweep,https://sweep.dev/,https://www.ycombinator.com/companies/sweep,custom_page,,https://www.ycombinator.com/companies/sweep/jobs/8dUn406-ml-research-engineer-full-time-internship
batch-045,9,Swif.ai,swif-ai,https://www.swif.ai,https://www.ycombinator.com/companies/swif-ai,custom_page,,https://www.ycombinator.com/companies/swif-ai/jobs
batch-045,10,Synphony,synphony,https://www.synphony.co/,https://www.ycombinator.com/companies/synphony,custom_page,,https://www.synphony.co/careers
batch-046,1,Synthio Labs,synthio-labs,https://synthiolabs.com/,https://www.ycombinator.com/companies/synthio-labs,custom_page,,https://synthiolabs.com/careers
batch-046,2,Tamarind Bio,tamarind-bio,https://www.tamarind.bio,https://www.ycombinator.com/companies/tamarind-bio,custom_page,,https://www.ycombinator.com/companies/tamarind-bio/jobs
batch-046,3,Tara AI,tara-ai,http://www.tara.ai,https://www.ycombinator.com/companies/tara-ai,custom_page,,http://www.tara.ai/open-positions/
batch-046,4,Tasklet,tasklet-2,https://tasklet.ai,https://www.ycombinator.com/companies/tasklet-2,custom_page,,https://tasklet.ai/open-positions/
batch-046,5,TaxGPT,taxgpt,https://www.taxgpt.com,https://www.ycombinator.com/companies/taxgpt,custom_page,,https://www.taxgpt.com/careers
